(p: 0, t: 51) Comm: 0.000000, Grid: 0.331596, Idle: 0.073537
(p: 0, t: 15) Comm: 0.000000, Grid: 0.331857, Idle: 0.073276
(p: 0, t: 38) Comm: 0.000000, Grid: 0.331982, Idle: 0.073146
(p: 0, t: 17) Comm: 0.000000, Grid: 0.331595, Idle: 0.073539
(p: 0, t: 29) Comm: 0.000000, Grid: 0.331631, Idle: 0.073501
(p: 0, t: 36) Comm: 0.000000, Grid: 0.331660, Idle: 0.073475
(p: 0, t: 3) Comm: 0.000000, Grid: 0.331619, Idle: 0.073513
(p: 0, t: 21) Comm: 0.000000, Grid: 0.331634, Idle: 0.073502
(p: 0, t: 61) Comm: 0.000000, Grid: 0.331636, Idle: 0.073499
(p: 0, t: 32) Comm: 0.000000, Grid: 0.331626, Idle: 0.073498
(p: 0, t: 31) Comm: 0.000000, Grid: 0.331843, Idle: 0.073290
(p: 0, t: 5) Comm: 0.000000, Grid: 0.331818, Idle: 0.073315
(p: 0, t: 53) Comm: 0.000000, Grid: 0.331811, Idle: 0.073314
(p: 0, t: 25) Comm: 0.000000, Grid: 0.331629, Idle: 0.073500
(p: 0, t: 6) Comm: 0.000000, Grid: 0.331666, Idle: 0.073481
(p: 0, t: 28) Comm: 0.000000, Grid: 0.331664, Idle: 0.073458
(p: 0, t: 44) Comm: 0.000000, Grid: 0.331675, Idle: 0.073455
(p: 0, t: 60) Comm: 0.000000, Grid: 0.331672, Idle: 0.073456
(p: 0, t: 16) Comm: 0.000000, Grid: 0.331623, Idle: 0.073499
(p: 0, t: 48) Comm: 0.000000, Grid: 0.331633, Idle: 0.073491
(p: 0, t: 0) Comm: 0.007378, Grid: 0.331595, Idle: 0.065647
(p: 0, t: 20) Comm: 0.000000, Grid: 0.331660, Idle: 0.073471
(p: 0, t: 1) Comm: 0.000000, Grid: 0.331667, Idle: 0.073462
(p: 0, t: 52) Comm: 0.000000, Grid: 0.331674, Idle: 0.073459
(p: 0, t: 57) Comm: 0.000000, Grid: 0.331830, Idle: 0.073298
(p: 0, t: 37) Comm: 0.000000, Grid: 0.331901, Idle: 0.073222
(p: 0, t: 27) Comm: 0.000000, Grid: 0.331832, Idle: 0.073298
(p: 0, t: 39) Comm: 0.000000, Grid: 0.331699, Idle: 0.073438
(p: 0, t: 55) Comm: 0.000000, Grid: 0.331621, Idle: 0.073494
(p: 0, t: 10) Comm: 0.000000, Grid: 0.331634, Idle: 0.073496
(p: 0, t: 59) Comm: 0.000000, Grid: 0.331632, Idle: 0.073501
(p: 0, t: 43) Comm: 0.000000, Grid: 0.331685, Idle: 0.073445
(p: 0, t: 8) Comm: 0.000000, Grid: 0.331560, Idle: 0.073571
(p: 0, t: 18) Comm: 0.000000, Grid: 0.331553, Idle: 0.073573
(p: 0, t: 50) Comm: 0.000000, Grid: 0.331565, Idle: 0.073563
(p: 0, t: 33) Comm: 0.000000, Grid: 0.331634, Idle: 0.073502
(p: 0, t: 7) Comm: 0.000000, Grid: 0.331627, Idle: 0.073502
(p: 0, t: 24) Comm: 0.000000, Grid: 0.331670, Idle: 0.073461
(p: 0, t: 56) Comm: 0.000000, Grid: 0.331677, Idle: 0.073450
(p: 0, t: 2) Comm: 0.000000, Grid: 0.331663, Idle: 0.073466
(p: 0, t: 40) Comm: 0.000000, Grid: 0.331679, Idle: 0.073454
(p: 0, t: 47) Comm: 0.000000, Grid: 0.331700, Idle: 0.073425
(p: 0, t: 23) Comm: 0.000000, Grid: 0.331822, Idle: 0.073311
(p: 0, t: 54) Comm: 0.000000, Grid: 0.331704, Idle: 0.073422
(p: 0, t: 42) Comm: 0.000000, Grid: 0.331783, Idle: 0.073339
(p: 0, t: 30) Comm: 0.000000, Grid: 0.331745, Idle: 0.073391
(p: 0, t: 14) Comm: 0.000000, Grid: 0.331745, Idle: 0.073374
(p: 0, t: 22) Comm: 0.000000, Grid: 0.331956, Idle: 0.073170
(p: 0, t: 11) Comm: 0.000000, Grid: 0.331943, Idle: 0.073181
(p: 0, t: 63) Comm: 0.007226, Grid: 0.331888, Idle: 0.065468
(p: 0, t: 41) Comm: 0.000000, Grid: 0.331886, Idle: 0.073244
(p: 0, t: 26) Comm: 0.000000, Grid: 0.331822, Idle: 0.073297
(p: 0, t: 46) Comm: 0.000000, Grid: 0.331878, Idle: 0.073246
(p: 0, t: 58) Comm: 0.000000, Grid: 0.331789, Idle: 0.073336
(p: 0, t: 4) Comm: 0.000000, Grid: 0.331831, Idle: 0.073300
(p: 0, t: 9) Comm: 0.000000, Grid: 0.331846, Idle: 0.073273
(p: 0, t: 19) Comm: 0.000000, Grid: 0.331827, Idle: 0.073302
(p: 0, t: 62) Comm: 0.000000, Grid: 0.331890, Idle: 0.073228
(p: 0, t: 45) Comm: 0.000000, Grid: 0.331832, Idle: 0.073294
(p: 0, t: 12) Comm: 0.000000, Grid: 0.331892, Idle: 0.073242
(p: 0, t: 35) Comm: 0.000000, Grid: 0.331837, Idle: 0.073288
(p: 0, t: 49) Comm: 0.000000, Grid: 0.331818, Idle: 0.073309
(p: 0, t: 34) Comm: 0.000000, Grid: 0.331598, Idle: 0.073534
(p: 0, t: 13) Comm: 0.000000, Grid: 0.331632, Idle: 0.073502
Elapsed time: 0.422938 s
# nprocs, nthreads, total, procrank, thid, comm, grid, idle, write
4,6,3.073609,2,0,0.041571,2.802547,0.033442,0.194162
4,6,3.073610,2,1,0.000000,2.802584,0.075534,0.194162
4,6,3.073610,3,3,0.000000,2.801033,0.077089,0.194165
4,6,3.073611,3,5,0.016602,2.803752,0.057273,0.194166
4,7,2.748489,0,5,0.000000,2.423879,0.071170,0.252113
4,7,2.748489,0,3,0.000000,2.424110,0.070939,0.252112
4,7,2.748489,0,0,0.028924,2.424429,0.041132,0.252113
4,7,2.748490,0,1,0.000000,2.423416,0.071623,0.252113
4,7,2.748490,0,4,0.000000,2.423759,0.071283,0.252112
4,7,2.748490,0,2,0.000000,2.423581,0.071462,0.252113
4,7,2.748489,0,6,0.017080,2.423819,0.053553,0.252112
4,7,2.748489,1,3,0.000000,2.422600,0.072454,0.252106
4,7,2.748496,1,0,0.031003,2.423881,0.039481,0.252112
4,7,2.748497,1,1,0.000000,2.423761,0.071298,0.252112
4,7,2.748496,1,6,0.013670,2.424594,0.056303,0.252114
4,7,2.748497,1,4,0.000000,2.422690,0.072365,0.252116
4,7,2.748501,1,2,0.000000,2.423254,0.071797,0.252116
4,7,2.748500,1,5,0.000000,2.423249,0.071798,0.252118
4,7,2.748510,3,3,0.000000,2.407115,0.087957,0.252114
4,7,2.748514,3,6,0.028067,2.409147,0.057345,0.252118
4,7,2.748517,3,1,0.000000,2.406866,0.088202,0.252119
4,7,2.748516,3,5,0.000000,2.406883,0.088175,0.252120
4,7,2.748517,3,4,0.000000,2.406972,0.088092,0.252120
4,7,2.748517,3,0,0.031580,2.408146,0.054685,0.252120
4,7,2.748518,3,2,0.000000,2.407656,0.087411,0.252120
4,7,2.748703,2,1,0.000000,2.405568,0.089497,0.252305
4,7,2.748707,2,4,0.000000,2.405598,0.089473,0.252308
4,7,2.748708,2,2,0.000000,2.405450,0.089622,0.252309
4,7,2.748709,2,6,0.012702,2.406255,0.075528,0.252310
4,7,2.748709,2,0,0.052908,2.404919,0.036702,0.252310
4,7,2.748711,2,3,0.000000,2.405698,0.089372,0.252312
4,7,2.748710,2,5,0.000000,2.405751,0.089317,0.252311
4,8,2.457703,0,7,0.016438,2.168989,0.058649,0.211758
4,8,2.457703,0,4,0.000000,2.168626,0.075973,0.211758
4,8,2.457694,1,2,0.000000,2.147172,0.097436,0.211750
4,8,2.457697,1,3,0.000000,2.146871,0.097742,0.211755
4,8,2.457696,1,6,0.000000,2.146981,0.097627,0.211756
4,8,2.457699,1,1,0.000000,2.146942,0.097665,0.211756
4,8,2.457700,1,7,0.015897,2.147983,0.080235,0.211757
4,8,2.457700,1,0,0.054423,2.146159,0.043420,0.211757
4,8,2.457701,0,6,0.000000,2.167000,0.077608,0.211758
4,8,2.457704,0,2,0.000000,2.167050,0.077560,0.211758
4,8,2.457702,1,4,0.000000,2.146822,0.097788,0.211760
4,8,2.457703,0,3,0.000000,2.167644,0.076964,0.211758
4,8,2.457703,0,5,0.000000,2.165549,0.079059,0.211759
4,8,2.457702,0,1,0.000000,2.166945,0.077658,0.211758
4,8,2.457704,1,5,0.000000,2.147205,0.097407,0.211761
4,8,2.457754,3,4,0.000000,2.138180,0.106495,0.211757
4,8,2.457761,3,1,0.000000,2.138539,0.106126,0.211761
4,8,2.457750,2,6,0.000000,2.139677,0.104972,0.211760
4,8,2.457757,2,0,0.064286,2.140271,0.039559,0.211766
4,8,2.457763,3,2,0.000000,2.139378,0.105283,0.211763
4,8,2.457764,3,7,0.044101,2.139327,0.060747,0.211765
4,8,2.457756,2,4,0.000000,2.140932,0.103731,0.211766
4,8,2.457764,3,0,0.033852,2.139322,0.070915,0.211766
4,8,2.457767,3,5,0.000000,2.138910,0.105753,0.211768
4,8,2.457759,2,7,0.012580,2.141481,0.090011,0.211768
4,8,2.457762,2,3,0.000000,2.139555,0.105107,0.211770
4,8,2.457763,2,1,0.000000,2.139918,0.104744,0.211771
4,8,2.457767,3,3,0.000000,2.137744,0.106913,0.211769
4,8,2.457768,3,6,0.000000,2.138446,0.106224,0.211770
4,8,2.457763,2,2,0.000000,2.139767,0.104889,0.211771
4,8,2.457761,2,5,0.000000,2.141307,0.103344,0.211771
4,8,2.457704,0,0,0.033094,2.168170,0.042771,0.211758
4,9,2.358969,1,5,0.000000,1.882933,0.089283,0.385421
4,9,2.358973,1,2,0.000000,1.882906,0.089307,0.385425
4,9,2.358971,1,6,0.000000,1.882536,0.089683,0.385425
4,9,2.358973,1,4,0.000000,1.882825,0.089384,0.385426
4,9,2.358973,1,7,0.000000,1.882670,0.089543,0.385427
4,9,2.358943,0,8,0.011873,1.898025,0.061728,0.385422
4,9,2.358944,0,0,0.033721,1.895800,0.042107,0.385421
4,9,2.358944,0,3,0.000000,1.894992,0.077198,0.385422
4,9,2.358943,0,1,0.000000,1.894916,0.077275,0.385421
4,9,2.358975,1,0,0.040801,1.881814,0.048952,0.385427
4,9,2.358976,1,8,0.020430,1.883961,0.067318,0.385428
4,9,2.358977,1,1,0.000000,1.881822,0.090384,0.385429
4,9,2.358946,0,4,0.000000,1.896096,0.076093,0.385422
4,9,2.358944,0,7,0.000000,1.895141,0.077048,0.385421
4,9,2.358978,1,3,0.000000,1.882557,0.089662,0.385430
4,9,2.358997,3,5,0.000000,1.881002,0.091235,0.385417
